
========================================================================
RUN STARTED  2026-06-17 03:25:10
site_pipeline.py https://orcacomputing.com/
========================================================================

[03:25:10 +0s | orcacomputing] === 0 crawl site ===
[03:25:11 +1s | orcacomputing] [INIT].... → Crawl4AI 0.8.6 
[03:25:16 +7s | orcacomputing] [SCRAPE].. ◆ https://orcacomputing.com/cookies-policy/                                                            | ✓ | ⏱: 0.03s 
[03:25:16 +7s | orcacomputing] [COMPLETE] ● https://orcacomputing.com/cookies-policy/                                                            | ✓ | ⏱: 3.98s 
[03:25:17 +7s | orcacomputing] [FETCH]... ↓ https://orcacomputing.com/privacy-notice/                                                            | ✓ | ⏱: 4.12s 
[03:25:17 +7s | orcacomputing] [SCRAPE].. ◆ https://orcacomputing.com/privacy-notice/                                                            | ✓ | ⏱: 0.03s 
[03:25:17 +7s | orcacomputing] [COMPLETE] ● https://orcacomputing.com/privacy-notice/                                                            | ✓ | ⏱: 4.16s 
[03:25:17 +7s | orcacomputing] [FETCH]... ↓ https://orcacomputing.com/applications/                                                              | ✓ | ⏱: 4.16s 
[03:25:17 +7s | orcacomputing] [SCRAPE].. ◆ https://orcacomputing.com/applications/                                                              | ✓ | ⏱: 0.04s 
[03:25:17 +7s | orcacomputing] [COMPLETE] ● https://orcacomputing.com/applications/                                                              | ✓ | ⏱: 4.21s 
[03:25:17 +7s | orcacomputing] [FETCH]... ↓ https://orcacomputing.com/category/reports-publications/                                             | ✓ | ⏱: 4.21s 
[03:25:17 +7s | orcacomputing] [SCRAPE].. ◆ https://orcacomputing.com/category/reports-publications/                                             | ✓ | ⏱: 0.03s 
[03:25:17 +7s | orcacomputing] [COMPLETE] ● https://orcacomputing.com/category/reports-publications/                                             | ✓ | ⏱: 4.25s 
[03:25:17 +7s | orcacomputing] [FETCH]... ↓ https://orcacomputing.com/orca-pt-1/                                                                 | ✓ | ⏱: 4.39s 
[03:25:17 +7s | orcacomputing] [SCRAPE].. ◆ https://orcacomputing.com/orca-pt-1/                                                                 | ✓ | ⏱: 0.02s 
[03:25:17 +7s | orcacomputing] [COMPLETE] ● https://orcacomputing.com/orca-pt-1/                                                                 | ✓ | ⏱: 4.42s 
[03:25:18 +8s | orcacomputing] [FETCH]... ↓ http://www.orcacomputing.com/                                                                        | ✓ | ⏱: 0.87s 
[03:25:18 +8s | orcacomputing] [SCRAPE].. ◆ http://www.orcacomputing.com/                                                                        | ✓ | ⏱: 0.03s 
[03:25:18 +8s | orcacomputing] [COMPLETE] ● http://www.orcacomputing.com/                                                                        | ✓ | ⏱: 0.92s 
